"Deck, Trial",color,number,C,DI-1,DR-1,DI-2,DR-2,DI-3,DR-3,EI-1,ER-1,EC-1
"white, 79",white,79,1,1,0,1,0,0,0,1,0,-1.0
"black, 79",black,79,0,0,0,0,0,0,0,0,0,-0.6
"red, 80",red,80,0,0,0,0,0,0,0,0,0,0.0
"white, 80",white,80,1,1,0,1,0,1,0,0,0,0.0
"black, 80",black,80,0,0,0,0,0,0,0,0,0,0.0
"red, 81",red,81,0,0,0,0,0,0,0,0,0,0.0
"white, 81",white,81,1,1,0,1,0,1,0,0,0,0.0
"black, 81",black,81,0,0,0,0,0,0,0,0,0,0.0
"red, 82",red,82,1,0,0,0,0,0,0,0,0,0.0
"white, 82",white,82,0,1,0,1,0,1,0,0,0,0.0
"black, 82",black,82,0,0,0,0,0,0,0,0,0,0.0
"red, 83",red,83,1,1,0,0,0,0,0,0,0,0.0
"white, 83",white,83,0,0,0,1,0,1,0,0,0,0.0
"black, 83",black,83,0,0,0,0,0,0,0,0,0,0.0
"red, 84",red,84,1,1,1,1,0,0,0,0,0,0.0
"white, 84",white,84,0,0,0,0,0,1,0,0,0,0.0
"black, 84",black,84,0,0,0,0,0,0,0,0,0,0.0
"red, 85",red,85,0,1,0,1,1,1,0,0,0,0.06666666666666667
"white, 85",white,85,1,0,0,0,0,0,0,0,0,0.3333333333333333
"black, 85",black,85,0,0,0,0,0,0,0,1,1,0.3333333333333333
"red, 86",red,86,1,0,0,1,0,1,1,0,0,0.0
"white, 86",white,86,0,1,0,0,0,0,0,0,0,0.0
"black, 86",black,86,0,0,0,0,0,0,0,0,0,0.0
"red, 87",red,87,1,1,0,0,0,1,0,0,0,0.0
"white, 87",white,87,0,0,0,1,0,0,0,0,0,0.0
"black, 87",black,87,0,0,0,0,0,0,0,0,0,0.0
"red, 88",red,88,0,1,1,1,0,0,0,0,0,0.0
"white, 88",white,88,0,0,0,0,0,1,0,0,0,0.0
"black, 88",black,88,1,0,0,0,0,0,0,0,0,0.0
"red, 89",red,89,0,0,0,1,1,1,0,0,0,0.0
"white, 89",white,89,1,0,0,0,0,0,0,0,0,0.0
"black, 89",black,89,0,1,0,0,0,0,0,0,0,0.0
"red, 90",red,90,1,0,0,0,0,1,1,0,0,0.0
"white, 90",white,90,0,1,0,0,0,0,0,0,0,0.0
"black, 90",black,90,0,0,0,1,0,0,0,0,0,0.0
"red, 91",red,91,0,1,0,0,0,0,0,0,0,0.0
"white, 91",white,91,1,0,0,1,0,0,0,0,0,0.0
"black, 91",black,91,0,0,0,0,0,1,0,0,0,0.0
"red, 92",red,92,0,0,0,1,0,0,0,1,0,-0.3333333333333333
"white, 92",white,92,1,1,0,0,0,1,0,0,0,0.4666666666666667
"black, 92",black,92,0,0,0,0,0,0,0,0,0,0.1111111111111111
"red, 93",red,93,0,0,0,0,0,1,0,0,0,-0.3333333333333333
"white, 93",white,93,1,1,0,1,0,0,0,1,1,-0.5384615384615384
"black, 93",black,93,0,0,0,0,0,0,0,0,0,0.6666666666666666
"red, 94",red,94,0,0,0,0,0,0,0,0,0,0.0
"white, 94",white,94,1,1,0,1,0,1,0,0,0,0.0
"black, 94",black,94,0,0,0,0,0,0,0,0,0,0.0
"red, 95",red,95,0,0,0,0,0,0,0,0,0,0.0
"white, 95",white,95,1,1,0,1,0,1,0,0,0,0.0
"black, 95",black,95,0,0,0,0,0,0,0,0,0,0.0
"red, 96",red,96,0,0,0,0,0,0,0,0,0,0.0
"white, 96",white,96,0,1,0,1,0,1,0,0,0,0.0
"black, 96",black,96,1,0,0,0,0,0,0,0,0,0.0
"red, 97",red,97,0,0,0,0,0,0,0,0,0,0.0
"white, 97",white,97,0,0,0,1,0,1,0,0,0,0.0
"black, 97",black,97,1,1,0,0,0,0,0,0,0,0.0
"red, 98",red,98,1,0,0,0,0,0,0,0,0,-0.3333333333333333
"white, 98",white,98,0,0,0,0,0,1,0,1,1,-0.5384615384615384
"black, 98",black,98,0,1,1,1,0,0,0,0,0,0.6666666666666666
"red, 99",red,99,1,1,0,0,0,0,0,0,0,-0.3333333333333333
"white, 99",white,99,0,0,0,0,0,0,0,1,0,0.4666666666666667
"black, 99",black,99,0,0,0,1,1,1,0,0,0,0.1111111111111111
"red, 100",red,100,1,1,0,1,0,0,0,0,0,0.0
"white, 100",white,100,0,0,0,0,0,0,0,1,1,-1.0
"black, 100",black,100,0,0,0,0,0,1,1,0,0,-0.6
"red, 101",red,101,0,1,0,1,0,1,0,0,0,0.0
"white, 101",white,101,0,0,0,0,0,0,0,0,0,0.0
"black, 101",black,101,1,0,0,0,0,0,0,0,0,0.0
"red, 102",red,102,1,0,0,1,0,1,0,0,0,0.0
"white, 102",white,102,0,0,0,0,0,0,0,0,0,0.0
"black, 102",black,102,0,1,1,0,0,0,0,0,0,0.0
"red, 103",red,103,0,1,0,0,0,1,0,0,0,0.0
"white, 103",white,103,1,0,0,0,0,0,0,0,0,0.0
"black, 103",black,103,0,0,0,1,1,0,0,0,0,0.0
"red, 104",red,104,0,0,0,1,0,0,0,0,0,0.0
"white, 104",white,104,1,1,0,0,0,0,0,0,0,0.0
"black, 104",black,104,0,0,0,0,0,1,1,0,0,0.0
"red, 105",red,105,0,0,0,0,0,1,0,0,0,0.0
"white, 105",white,105,1,1,1,1,0,0,0,0,0,0.0
"black, 105",black,105,0,0,0,0,0,0,0,0,0,0.0
"red, 106",red,106,0,0,0,0,0,0,0,0,0,-0.5
"white, 106",white,106,1,1,1,1,1,1,0,0,0,0.0
"black, 106",black,106,0,0,0,0,0,0,0,1,1,0.5
"red, 107",red,107,0,0,0,0,0,0,0,0,0,0.0
"white, 107",white,107,1,1,1,1,1,1,1,0,0,0.0
"black, 107",black,107,0,0,0,0,0,0,0,0,0,0.0
"red, 108",red,108,0,0,0,0,0,0,0,1,0,-0.7142857142857143
"white, 108",white,108,1,1,0,1,1,1,1,0,0,-0.2727272727272727
"black, 108",black,108,0,0,0,0,0,0,0,0,0,-0.2727272727272727
"red, 109",red,109,0,0,0,0,0,0,0,0,0,-0.3333333333333333
"white, 109",white,109,1,1,1,1,0,1,1,1,0,-0.5384615384615384
"black, 109",black,109,0,0,0,0,0,0,0,0,0,0.6666666666666666
"red, 110",red,110,0,0,0,0,0,0,0,0,0,0.0
"white, 110",white,110,1,1,0,1,1,1,0,1,1,-1.0
"black, 110",black,110,0,0,0,0,0,0,0,0,0,-0.6
"red, 111",red,111,0,0,0,0,0,0,0,0,0,0.0
"white, 111",white,111,1,1,1,1,0,1,1,0,0,0.0
"black, 111",black,111,0,0,0,0,0,0,0,0,0,0.0
"red, 112",red,112,0,0,0,0,0,0,0,0,0,0.0
"white, 112",white,112,1,1,0,1,1,1,0,0,0,0.0
"black, 112",black,112,0,0,0,0,0,0,0,0,0,0.0
"red, 113",red,113,0,0,0,0,0,0,0,1,0,0.06666666666666667
